@relation TransactionCategories
@attribute title string
@attribute class {zdrowie_i_uroda, zywnosc, transport, media, czynsz}

@data
"Kanał YouTube", media
"Pieczywo razowe", zywnosc
"Zdrowa żywność", zdrowie_i_uroda
"Riksza", transport
"Prasa", media
"Ryby", zywnosc
"Salon kosmetyczny", zdrowie_i_uroda
"Bilet kolejowy", transport
"Gazety i czasopisma", media
"Owoce egzotyczne", zywnosc
"Rehabilitacja", zdrowie_i_uroda
"Bilet autokarowy", transport
"Strumienie wideo", media
"Pasta do zębów", zdrowie_i_uroda
"Ziemniaki", zywnosc
"Wynajem samochodu", transport
"Streaming", media
"Płatki śniadaniowe", zywnosc
"Medycyna estetyczna", zdrowie_i_uroda
"Rower elektryczny", transport
"Radio internetowe", media
"Chipsy ziemniaczane", zywnosc
"Dietetyczne danie", zdrowie_i_uroda
"Pociąg miejski", transport
"Portal informacyjny", media
"Pizza", zywnosc
"Kosmetyki do pielęgnacji włosów", zdrowie_i_uroda
"Bilet metra", transport
"Księgarnia", media
"Kawa ziarnista", zywnosc
"Zabieg kosmetyczny", zdrowie_i_uroda
"Rowerek stacjonarny", transport
"Radio FM", media
"Czekolada", zywnosc
"Wizyta u dermatologa", zdrowie_i_uroda
"Bilet promowy", transport
"Telewizja kablowa", media
"Herbata zielona", zywnosc
"Recepta lekarska", zdrowie_i_uroda
"Gry komputerowe online", media
"Kurczak", zywnosc
"Wizyta u okulisty", zdrowie_i_uroda
"Bilet rowerowy", transport
"Portal społecznościowy", media
"Ryż", zywnosc
"Wizyta u psychoterapeuty", zdrowie_i_uroda
"Bilet na pociąg szybki", transport
"Telewizor OLED", media
"Chleb razowy", zywnosc
"Kosmetyki do makijażu", zdrowie_i_uroda
"Kosmetyki naturalne", zdrowie_i_uroda
"Telefon komórkowy", media
"Ser kozi", zywnosc
"Zestaw do manicure", zdrowie_i_uroda
"Rower miejski", transport
"Konsola do gier", media
"Szparagi", zywnosc
"Kosmetyki do pielęgnacji ciała", zdrowie_i_uroda
"Autobus podmiejski", transport
"Strona internetowa", media
"Jogurt grecki", zywnosc
"Rehabilitacja po wypadku", zdrowie_i_uroda
"Skuter", transport
"Magazyn online", media
"Orzechy włoskie", zywnosc
"Kosmetyki antyaging", zdrowie_i_uroda
"Bilet tramwajowy", transport
"Muzyka na żywo", media
"Kosmetyki do pielęgnacji twarzy", zdrowie_i_uroda
"Bilet kolejowy", transport
"Portal informacyjny", media
"Warzywa świeże", zywnosc
"Kosmetyki do włosów", zdrowie_i_uroda
"Bilet na prom", transport
"Radio internetowe", media
"Owoce morza", zywnosc
"Wizyta u fizjoterapeuty", zdrowie_i_uroda
"Bilet metra", transport
"Gry komputerowe online", media
"Chleb pszenny", zywnosc
"Pedicure", zdrowie_i_uroda
"Bilet lotniczy", transport
"Telewizor LED", media
"Kasza jaglana", zywnosc
"Kosmetyki do pielęgnacji paznokci", zdrowie_i_uroda
"Samolot", transport
"Kanał telewizyjny", media
"Mięso wołowe", zywnosc
"Wizyta u ortodonty", zdrowie_i_uroda
"Kolejka górska", transport
"Kino domowe", media
"Oliwa z oliwek", zywnosc
"Medycyna estetyczna", zdrowie_i_uroda
"Rower elektryczny", transport
"Kosmetyki do pielęgnacji dłoni", zdrowie_i_uroda
"Bilet kolejowy", transport
"Portal internetowy", media
"Kawa mielona", zywnosc
"Poradnia psychologiczna", zdrowie_i_uroda
"Rower górski", transport
"Telewizja satelitarna", media
"Chipsy kukurydziane", zywnosc
"Wizyta u ginekologa", zdrowie_i_uroda
"Bilet autobusowy", transport
"Kosmetyki naturalne", zdrowie_i_uroda
"Radio FM", media
"Herbata owocowa", zywnosc
"Pociąg ekspresowy", transport
"Gry wideo online", media
"Sałatka warzywna", zywnosc
"Samochód elektryczny", transport
"Podcast audio", media
"Mąka", zywnosc
"Rowerek treningowy", transport
"Telewizja HD", media
"Ciasto", zywnosc
"Zabiegi kosmetyczne", zdrowie_i_uroda
"Bilet na prom", transport
"Rowerek spinningowy", transport
"Serwis streamingowy", media
"Ryż basmati", zywnosc
"Wizyta u psychologa", zdrowie_i_uroda
"Bilet tramwajowy", transport
"Portal informacyjny online", media
"Kosmetyki do pielęgnacji ciała", zdrowie_i_uroda
"Bilet metra", transport
"Gry planszowe", media
"Herbata czarna", zywnosc
"Wizyta u endokrynologa", zdrowie_i_uroda
"Bilet kolejowy", transport
"Serwis muzyczny", media
"Pizza", zywnosc
"Kosmetyki do pielęgnacji włosów", zdrowie_i_uroda
"Bilet samolotowy", transport
"Telewizja 4K", media
"Kawa rozpuszczalna", zywnosc
"Zabiegi medycyny estetycznej", zdrowie_i_uroda
"Pociąg miejski", transport
"Strona internetowa firmy", media
"Bułki", zywnosc
"Pielęgnacja paznokci hybrydowych", zdrowie_i_uroda
"Joga i medytacja", zdrowie_i_uroda
"Książka o zdrowym odżywianiu", zdrowie_i_uroda
"Wynajem roweru w górach", transport
"Prenumerata czasopisma naukowego", media
"Wynajem apartamentu w centrum miasta", czynsz
"Krem do opalania", zdrowie_i_uroda
"Kawa zbożowa", zywnosc
"Kosmetyki do pielęgnacji brody", zdrowie_i_uroda
"Bilet na lot balonem", transport
"Telefon komórkowy z aparatem fotograficznym", media
"Ryby wędzone", zywnosc
"Konsultacja u psychiatry dziecięcego", zdrowie_i_uroda
"Wynajem samochodu na wakacje", transport
"Portal edukacyjny online", media
"Owoce suszone", zywnosc
"Trening personalny", zdrowie_i_uroda
"Bilet na metro szybkie", transport
"Prenumerata audiobooków", media
"Kosmetyki do makijażu mineralnego", zdrowie_i_uroda
"Rowerek stacjonarny magnetyczny", transport
"Radio internetowe rockowe", media
"Kasza kuskus", zywnosc
"Kosmetyki do pielęgnacji paznokci żelowych", zdrowie_i_uroda
"Bilet na prom nocny", transport
"Telewizja satelitarna HD", media
"Ciasteczka owsiane", zywnosc
"Wizyta u fizjoterapeuty dziecięcego", zdrowie_i_uroda
"Samochód hybrydowy", transport
"Podcast kulinarny", media
"Mleko migdałowe", zywnosc
"Kosmetyki do pielęgnacji mężczyzn", zdrowie_i_uroda
"Bilet kolejowy nocny", transport
"Serwis streamingowy muzyki klasycznej", media
